2022-11-28 05:14:10,586 | FemsService | INFO | error to do 'GetAHUSetSupData('20221024141000')'
2022-11-28 05:15:10,588 | FemsService | INFO | error to do 'GetAHUSetSupData('202210241415')'
2022-11-28 05:15:10,603 | FemsService | INFO | error to do 'GetAHUSetSupData('202210241415')'
2022-11-28 05:15:38,103 | FemsService | INFO | succeed to do 'GetAHUSetSupData('20221024141500')'
2022-11-28 05:20:41,554 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241420')'
2022-11-28 05:25:46,562 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241425')'
2022-11-28 05:30:51,555 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241430')'
2022-11-28 05:35:56,563 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241435')'
2022-11-28 05:40:00,556 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241440')'
2022-11-28 05:45:05,547 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241445')'
2022-11-28 05:50:10,566 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241450')'
2022-11-28 05:55:15,554 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241455')'
2022-11-28 06:00:20,559 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241500')'
2022-11-28 08:28:28,665 | FemsService | INFO | succeed to do 'GetAHUSetSupData('20221024172500')'
