2022-11-29 02:41:52,316 | FemsService | INFO | succeed to do 'GetAHUSetSupData('20221024114000')'
2022-11-29 02:42:01,653 | FemsService | INFO | succeed to do 'GetLpDataHourly('20221006')'
2022-11-29 02:43:36,092 | FemsService | INFO | succeed to do 'GetAHUSetSupData('20221024114000')'
2022-11-29 02:44:03,267 | FemsService | INFO | succeed to do 'GetAHUSetSupData('20221024114000')'
2022-11-29 02:45:04,275 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241145')'
2022-11-29 02:45:04,448 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241145')'
2022-11-29 02:50:09,264 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241150')'
2022-11-29 02:55:14,261 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241155')'
2022-11-29 03:00:19,236 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241200')'
2022-11-29 03:05:24,261 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241205')'
2022-11-29 03:10:29,252 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241210')'
2022-11-29 03:15:34,237 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241215')'
2022-11-29 03:20:39,249 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241220')'
2022-11-29 03:25:44,248 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241225')'
2022-11-29 03:30:49,274 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241230')'
2022-11-29 03:35:54,232 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241235')'
2022-11-29 03:40:59,247 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241240')'
2022-11-29 03:45:03,254 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241245')'
2022-11-29 03:50:08,227 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241250')'
2022-11-29 03:55:13,241 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241255')'
2022-11-29 04:00:18,329 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241300')'
2022-11-29 04:05:23,221 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241305')'
2022-11-29 04:10:28,237 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241310')'
2022-11-29 04:15:33,227 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241315')'
2022-11-29 04:20:38,214 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241320')'
2022-11-29 04:25:43,213 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241325')'
2022-11-29 04:30:48,248 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241330')'
2022-11-29 04:35:53,215 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241335')'
2022-11-29 04:40:58,223 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241340')'
2022-11-29 04:45:02,220 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241345')'
2022-11-29 04:47:39,210 | FemsService | INFO | succeed to do 'GetAHUSetSupData('20221024134500')'
2022-11-29 04:50:42,227 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241350')'
2022-11-29 04:55:47,254 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210241355')'
2022-11-29 05:14:43,921 | FemsService | INFO | succeed to do 'GetAHUSetSupData('20221024141000')'
2022-11-29 05:15:12,320 | FemsService | INFO | succeed to do 'GetLpDataHourly('20221005')'
2022-11-29 05:15:36,177 | FemsService | INFO | succeed to do 'GetAHUSetSupData('20221024141500')'
2022-11-29 05:48:27,043 | FemsService | INFO | succeed to do 'GetAHUSetSupData('20221024144500')'
