2022-12-02 00:27:22,244 | UposService | INFO | error to do 'GetLpDataDaily('202104',202105)'
2022-12-02 00:28:05,423 | UposService | INFO | error to do 'GetLpDataDaily('202104',202105)'
2022-12-02 00:29:29,518 | UposService | INFO | error to do 'GetLpDataDaily('202104',202105)'
2022-12-02 00:30:11,118 | UposService | INFO | error to do 'GetLpDataDaily('202104',202105)'
2022-12-02 00:30:27,553 | UposService | INFO | succeed to do 'GetLpDataHourly('2022-04-01')'
2022-12-02 00:30:33,022 | UposService | INFO | succeed to do 'GetAHUSetSupData('2022-04-01')'
2022-12-02 00:32:45,092 | UposService | INFO | succeed to do 'GetAHUSetSupData('2022-04-01')'
2022-12-02 00:32:49,750 | UposService | INFO | error to do 'GetLpDataDaily('202104',202105)'
2022-12-02 00:37:30,325 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-02 00:39:04,978 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-02 00:39:27,248 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-02 00:39:28,356 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-02 00:39:29,536 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-02 00:42:41,838 | UposService | INFO | succeed to do 'GetLpDataHourly('20210401')'
2022-12-02 00:43:33,814 | UposService | INFO | error to do 'GetLpDataHourly('20220401'
2022-12-02 00:43:54,935 | UposService | INFO | error to do 'GetLpDataHourly('20220401'
2022-12-02 00:44:20,742 | UposService | INFO | error to do 'GetLpDataHourly('20220401'
2022-12-02 00:44:40,288 | UposService | INFO | succeed to do 'GetLpDataHourly('2022-04-01')'
2022-12-02 00:45:50,373 | UposService | INFO | succeed to do 'GetLpDataHourly('2022-04-01')'
2022-12-02 00:46:08,960 | UposService | INFO | succeed to do 'GetLpDataHourly('2022-04-01')'
2022-12-02 00:46:50,293 | UposService | INFO | succeed to do 'GetLpDataHourly('2022-04-01')'
2022-12-02 00:54:38,169 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-29')'
2022-12-02 00:54:39,092 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-29')'
2022-12-02 00:54:40,021 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-29')'
2022-12-02 00:54:40,989 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-29')'
2022-12-02 00:54:46,693 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-08')'
2022-12-02 00:54:47,553 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-08')'
2022-12-02 00:54:48,401 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-08')'
2022-12-02 00:54:49,259 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-08')'
2022-12-02 00:54:50,106 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-08')'
2022-12-02 00:54:51,036 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-08')'
