2022-12-07 02:54:57,255 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 11:50:29')'
2022-12-07 02:54:57,625 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 11:50:29')
2022-12-07 02:56:01,150 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-01')'
2022-12-07 02:56:27,702 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 11:55:29')'
2022-12-07 02:56:28,048 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 11:55:29')
2022-12-07 03:04:24,359 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-08')'
2022-12-07 03:04:30,059 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-07 03:07:40,410 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-07 03:07:41,184 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-07 03:07:42,795 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-07 03:07:43,471 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-07 03:07:48,529 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-07 03:20:56,181 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-07 03:23:00,784 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-07 03:23:05,441 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-07 03:23:06,763 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-07 03:23:10,838 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-07 03:23:12,724 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-07 03:23:13,240 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-07 03:23:13,771 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-07 03:23:14,184 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-07 03:23:14,598 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-07 03:23:15,211 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-07 03:23:16,130 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
