2022-12-08 00:12:24,979 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 09:10:29')
2022-12-08 00:12:25,164 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 09:10:29')'
2022-12-08 00:12:25,324 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 09:10:29')'
2022-12-08 00:12:42,613 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 09:10:29')'
2022-12-08 00:12:42,809 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 09:10:29')'
2022-12-08 00:12:43,246 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 09:10:29')
2022-12-08 00:12:47,483 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 09:10:29')'
2022-12-08 00:12:47,833 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 09:10:29')
2022-12-08 00:12:48,013 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 09:10:29')'
2022-12-08 00:13:18,486 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 09:10:29')'
2022-12-08 00:13:18,721 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 09:10:29')'
2022-12-08 00:13:19,108 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 09:10:29')
2022-12-08 00:13:47,772 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 09:10:29')
2022-12-08 00:13:47,955 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 09:10:29')'
2022-12-08 00:13:48,118 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 09:10:29')'
2022-12-08 00:14:31,011 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 09:10:29')'
2022-12-08 00:14:31,280 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 09:10:29')'
2022-12-08 00:14:31,790 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 09:10:29')
2022-12-08 00:14:53,493 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-08')'
2022-12-08 00:15:01,255 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-07')'
2022-12-08 00:20:28,142 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-02')'
2022-12-08 00:21:16,297 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-15')'
2022-12-08 00:24:06,191 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-22')'
2022-12-08 00:29:29,854 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-08')'
2022-12-08 00:36:07,603 | UposService | INFO | error to do 'GetefficiencyData('2021-04-01 09:35:29')'
2022-12-08 00:40:07,218 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-14')'
2022-12-08 00:42:43,078 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01 09:40:29')'
2022-12-08 00:43:34,254 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01 09:40:29')'
2022-12-08 00:43:37,595 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01 09:40:29')'
2022-12-08 00:44:07,390 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 09:40:29')'
2022-12-08 00:44:07,607 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 09:40:29')'
2022-12-08 00:44:07,974 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 09:40:29')
2022-12-08 00:48:08,630 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 09:45:29')'
2022-12-08 00:48:08,805 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 09:45:29')'
2022-12-08 00:48:09,145 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 09:45:29')
2022-12-08 00:48:13,739 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 09:45:29')'
2022-12-08 00:48:14,088 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 09:45:29')
2022-12-08 00:48:14,268 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 09:45:29')'
2022-12-08 00:48:15,683 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01 09:45:29')'
2022-12-08 00:48:27,861 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 09:45:29')'
2022-12-08 00:48:28,238 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 09:45:29')
2022-12-08 00:48:28,404 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 09:45:29')'
2022-12-08 00:54:55,334 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01 09:50:29')'
2022-12-08 00:55:30,501 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 09:55:29')'
2022-12-08 00:55:30,860 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 09:55:29')
2022-12-08 00:55:31,049 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 09:55:29')'
2022-12-08 01:07:18,078 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:05:29')'
2022-12-08 01:07:18,409 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:05:29')
2022-12-08 01:07:18,587 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 10:05:29')'
2022-12-08 01:08:30,517 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01 10:05:29')'
2022-12-08 02:57:54,443 | UposService | INFO | error to do 'GetMLData('2022-04-01 00:00:29')'
2022-12-08 03:00:35,988 | UposService | INFO | error to do 'GetMLData('2022-04-01 00:00:29')'
2022-12-08 03:01:04,594 | UposService | INFO | error to do 'GetMLData('2022-04-01 00:00:29')'
2022-12-08 03:01:05,165 | UposService | INFO | error to do 'GetMLData('2022-04-01 00:00:29')'
2022-12-08 03:01:05,346 | UposService | INFO | error to do 'GetMLData('2022-04-01 00:00:29')'
2022-12-08 03:01:05,496 | UposService | INFO | error to do 'GetMLData('2022-04-01 00:00:29')'
2022-12-08 03:01:05,650 | UposService | INFO | error to do 'GetMLData('2022-04-01 00:00:29')'
2022-12-08 03:01:05,832 | UposService | INFO | error to do 'GetMLData('2022-04-01 00:00:29')'
2022-12-08 03:01:05,985 | UposService | INFO | error to do 'GetMLData('2022-04-01 00:00:29')'
2022-12-08 03:01:06,137 | UposService | INFO | error to do 'GetMLData('2022-04-01 00:00:29')'
2022-12-08 03:01:06,297 | UposService | INFO | error to do 'GetMLData('2022-04-01 00:00:29')'
