2022-12-09 13:40:54,092 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 22:40:29')'
2022-12-09 13:49:45,363 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:50:36,978 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:51:11,308 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:52:06,136 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:52:06,876 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:52:07,283 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:52:07,553 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:52:07,766 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:55:45,831 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:55:46,379 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:55:46,589 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:55:46,766 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:55:46,974 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:55:47,152 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:55:47,323 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:55:54,908 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:55:55,767 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:55:59,098 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:06,679 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:07,391 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:07,750 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:10,860 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:18,256 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:18,875 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:19,060 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:19,276 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:25,234 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:25,674 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:25,861 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:26,028 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:26,199 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:26,346 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:26,516 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:26,713 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:26,900 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:27,083 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:27,335 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:27,742 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:28,088 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:28,319 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:28,617 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:28,828 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:29,123 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:53,076 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:53,619 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:53,839 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:54,013 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:54,187 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:54,358 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:54,509 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:54,667 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:54,842 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 13:59:55,015 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:00:12,950 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:00:13,424 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:00:13,694 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:00:13,889 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:00:14,074 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:00:14,244 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:00:14,399 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:15:49,944 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:15:50,517 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:15:50,888 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:15:51,087 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:15:51,272 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:15:52,684 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:15:53,772 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:15:53,940 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:15:54,119 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:15:54,271 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:15:57,178 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:15:57,673 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:01,099 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:01,526 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:01,708 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:01,878 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:02,037 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:02,219 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:02,394 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:02,564 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:02,790 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:02,973 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:03,157 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:03,335 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:03,512 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:03,733 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:03,922 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:04,194 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:04,390 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:04,659 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:17,375 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:18,288 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:18,467 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:18,717 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:29,071 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01 00:00:29')'
2022-12-09 14:17:36,143 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:57,742 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:58,572 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:58,726 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:58,904 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:17:59,072 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:19:10,994 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:19:11,420 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:19:11,905 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:19:12,242 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:19:12,429 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:19:12,611 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:19:12,784 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:19:12,945 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:19:13,128 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:19:13,316 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:19:13,539 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:19:13,766 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:19:14,156 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:19:14,334 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:19:14,553 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:19:14,758 | UposService | INFO | error to do 'GetInfoData('2021-04-01 00:00:29')'
2022-12-09 14:19:47,840 | UposService | INFO | error to do 'GetInfoData('CHR016', '2021-04-01 00:00:29')'
2022-12-09 14:19:48,403 | UposService | INFO | error to do 'GetInfoData('CHR016', '2021-04-01 00:00:29')'
2022-12-09 14:19:48,601 | UposService | INFO | error to do 'GetInfoData('CHR016', '2021-04-01 00:00:29')'
2022-12-09 14:19:48,785 | UposService | INFO | error to do 'GetInfoData('CHR016', '2021-04-01 00:00:29')'
2022-12-09 14:19:48,951 | UposService | INFO | error to do 'GetInfoData('CHR016', '2021-04-01 00:00:29')'
2022-12-09 14:19:49,130 | UposService | INFO | error to do 'GetInfoData('CHR016', '2021-04-01 00:00:29')'
2022-12-09 14:19:49,299 | UposService | INFO | error to do 'GetInfoData('CHR016', '2021-04-01 00:00:29')'
2022-12-09 14:19:49,469 | UposService | INFO | error to do 'GetInfoData('CHR016', '2021-04-01 00:00:29')'
2022-12-09 14:19:49,650 | UposService | INFO | error to do 'GetInfoData('CHR016', '2021-04-01 00:00:29')'
2022-12-09 14:19:49,848 | UposService | INFO | error to do 'GetInfoData('CHR016', '2021-04-01 00:00:29')'
2022-12-09 14:19:50,048 | UposService | INFO | error to do 'GetInfoData('CHR016', '2021-04-01 00:00:29')'
2022-12-09 14:19:50,292 | UposService | INFO | error to do 'GetInfoData('CHR016', '2021-04-01 00:00:29')'
2022-12-09 14:19:50,494 | UposService | INFO | error to do 'GetInfoData('CHR016', '2021-04-01 00:00:29')'
2022-12-09 14:24:12,382 | UposService | INFO | succeed to do 'GetInfoData('CHR016', '2021-04-01 00:00:29')'
2022-12-09 14:50:21,515 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 23:50:29')'
2022-12-09 14:50:24,892 | UposService | INFO | succeed to do 'GetInfoData('CH-1204', '2021-04-01 23:50:29')'
2022-12-09 14:50:28,037 | UposService | INFO | succeed to do 'GetInfoData('CH-1203', '2021-04-01 23:50:29')'
2022-12-09 14:50:29,793 | UposService | INFO | succeed to do 'GetInfoData('CH-1202', '2021-04-01 23:50:29')'
2022-12-09 14:50:31,129 | UposService | INFO | succeed to do 'GetInfoData('CH-1201', '2021-04-01 23:50:29')'
2022-12-09 14:50:34,452 | UposService | INFO | succeed to do 'GetInfoData('CH-1206', '2021-04-01 23:50:29')'
2022-12-09 14:50:52,188 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 23:50:29')'
2022-12-09 14:50:54,096 | UposService | INFO | succeed to do 'GetInfoData('CH-1202', '2021-04-01 23:50:29')'
2022-12-09 14:50:56,604 | UposService | INFO | succeed to do 'GetInfoData('CH-1205', '2021-04-01 23:50:29')'
2022-12-09 14:52:05,937 | UposService | INFO | succeed to do 'GetInfoData('CH-1203', '2021-04-01 23:50:29')'
2022-12-09 14:53:01,070 | UposService | INFO | succeed to do 'GetInfoData('CH-1202', '2021-04-01 23:50:29')'
2022-12-09 14:53:12,644 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 23:50:29')'
2022-12-09 14:53:19,818 | UposService | INFO | succeed to do 'GetInfoData('CH-1202', '2021-04-01 23:50:29')'
2022-12-09 14:53:42,400 | UposService | INFO | succeed to do 'GetInfoData('CH-1204', '2021-04-01 23:50:29')'
2022-12-09 14:54:51,731 | UposService | INFO | succeed to do 'GetInfoData('CH-1203', '2021-04-01 23:50:29')'
2022-12-09 14:54:59,389 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 23:50:29')'
2022-12-09 14:55:02,839 | UposService | INFO | succeed to do 'GetInfoData('CHR019', '2021-04-01 23:55:29')'
2022-12-09 14:55:10,955 | UposService | INFO | succeed to do 'GetInfoData('CHR020', '2021-04-01 23:55:29')'
2022-12-09 14:57:52,188 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 23:55:29')'
2022-12-09 14:57:53,381 | UposService | INFO | succeed to do 'GetInfoData('CHR019', '2021-04-01 23:55:29')'
2022-12-09 14:57:55,159 | UposService | INFO | succeed to do 'GetInfoData('CHR021', '2021-04-01 23:55:29')'
2022-12-09 14:57:57,356 | UposService | INFO | succeed to do 'GetInfoData('CHR019', '2021-04-01 23:55:29')'
2022-12-09 14:57:59,123 | UposService | INFO | succeed to do 'GetInfoData('CHR017', '2021-04-01 23:55:29')'
2022-12-10 04:15:10,322 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 13:15:29')'
2022-12-10 04:15:10,669 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 13:15:29')
2022-12-10 04:15:10,832 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 13:15:29')'
2022-12-10 04:15:11,011 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 13:15:29')'
2022-12-10 04:23:40,939 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 13:20:29')'
2022-12-10 04:23:41,306 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 13:20:29')
2022-12-10 04:23:41,470 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 13:20:29')'
2022-12-10 04:23:41,649 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 13:20:29')'
2022-12-10 04:23:45,005 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 13:20:29')'
2022-12-10 04:23:45,250 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 13:20:29')'
2022-12-10 04:23:45,499 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 13:20:29')'
2022-12-10 04:23:45,884 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 13:20:29')
2022-12-10 04:32:36,750 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 13:30:29')'
2022-12-10 04:32:37,129 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 13:30:29')
2022-12-10 04:32:37,330 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 13:30:29')'
2022-12-10 04:32:37,545 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 13:30:29')'
2022-12-10 04:32:47,657 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 13:30:29')'
2022-12-10 04:32:52,092 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 13:30:29')'
2022-12-10 04:34:13,411 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 13:30:29')'
2022-12-10 04:34:31,293 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 13:30:29')'
2022-12-10 04:34:31,661 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 13:30:29')
2022-12-10 04:34:31,831 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 13:30:29')'
2022-12-10 04:34:32,027 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 13:30:29')'
2022-12-10 04:34:33,783 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 13:30:29')'
2022-12-10 04:34:36,742 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 13:30:29')'
2022-12-10 04:34:36,916 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 13:30:29')'
2022-12-10 04:34:37,293 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 13:30:29')
2022-12-10 04:34:37,478 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 13:30:29')'
2022-12-10 04:34:39,265 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 13:30:29')'
2022-12-10 04:34:48,333 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 13:30:29')'
2022-12-10 04:34:50,086 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 13:30:29')'
2022-12-10 04:34:51,419 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 13:30:29')'
2022-12-10 04:34:51,872 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 13:30:29')
2022-12-10 04:34:52,071 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 13:30:29')'
2022-12-10 04:34:52,264 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 13:30:29')'
2022-12-10 04:34:56,562 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 13:30:29')'
2022-12-10 04:35:00,608 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 13:35:29')'
2022-12-10 04:35:03,653 | UposService | INFO | succeed to do 'GetInfoData('CHR017', '2021-04-01 13:35:29')'
2022-12-10 04:35:05,044 | UposService | INFO | succeed to do 'GetInfoData('CHR016', '2021-04-01 13:35:29')'
2022-12-10 04:35:07,788 | UposService | INFO | succeed to do 'GetInfoData('CHR018', '2021-04-01 13:35:29')'
